"名称","設置主体","住所","電話","開所時間","乳児","障がい","延長","一時","休日","24時間","支援セ","緯度","経度"
"越ヶ浜保育園","公立","山口県萩市椿東1189-361","0838-25-0249","7:30～18:30","○","○","","","","","","34.468403","131.458986"
"越ヶ浜保育園","公立","山口県萩市大井1447-2","0838-28-0101","7:30～18:30","○","○","","","","","","34.468403","131.458986"
"大井分園","","山口県萩市","","","","","","","","","","34.37565","131.411736"
"椿保育園","公立","山口県萩市椿2794","0838-25-2270","7:30～18:30","○","○","","","","","","34.37565","131.411736"
"三見保育園","公立","山口県萩市三見3099","0838-27-0036","7:30～18:30","○","○","","","","","","34.421609","131.426658"
"椿東保育園","公立","山口県萩市椿東4504","0838-22-0147","7:00～19:00","○","○","○","○","","","","34.359751","131.365242"
"山田保育園","公立","山口県萩市山田4253","0838-22-1256","7:30～18:30","○","○","","○","","","","34.35368","131.495505"
"川上保育園","公立","山口県萩市川上4533-1","0838-54-2022","7:30～18:30","○","○","","○","","","○","34.645513","131.634176"
"田万川保育園","公立","山口県萩市江崎522","08387-2-0055","7:30～18:30","○","○","","○","","","○","34.592622","131.688727"
"田万川保育園","公立","山口県萩市中小川952","08387-4-0341","7:30～18:30","○","○","","○","","","○","34.592622","131.688727"
"小川分園","","山口県萩市","","","","","","","","","","34.444624","131.58874"
"むつみ保育園","公立","山口県萩市吉部上3170-1","08388-6-5400","7:30～18:30","○","○","","○","","","○","34.416139","131.384439"
"須佐保育園","公立","山口県萩市須佐5200-4","08387-6-2120","7:30～18:30","○","○","","○","","","○","34.623889","131.623731"
"あさひ保育園","公立","山口県萩市明木2906","0838-55-0755","7:30～18:30","○","○","","○","","","○","34.623889","131.623731"
"あさひ保育園","公立","山口県萩市佐々並3128","0838-56-0844","7:30～18:30"," ※休園中（R2年4月1日～） ","","","","","","","34.317073","131.413257"
"佐々並分園","","山口県萩市","","","","","","","","","","34.265903","131.456154"
"福川保育園","公立","山口県萩市福井下4015","0838-52-0115","7:30～18:30","​ ※休園中（R5年4月1日～）","","","","","","","34.417358","131.47544"
"紫福保育園","公立","山口県萩市紫福3356","0838-53-0019","7:30～18:30","○","○","","○","","","○","34.417358","131.47544"
"日の丸保育園","私立","山口県萩市恵美須町102","0838-25-2143","7:00～20:00","○","○","○","○","","○","○","34.473859","131.522364"
"住の江保育園","私立","山口県萩市浜崎町240","0838-24-3060","7:00～19:00","○","○","○","","○","","","34.413668","131.396227"
"大島保育園","私立","山口県萩市大島211","0838-28-0691","7:30～18:30","○","○","","","","","","34.420839","131.400473"
"春日保育園","私立","山口県萩市堀内325-10","0838-25-2470","7:00～19:00","○","○","○","","","","","34.501542","131.41044"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
